rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,8,22,36.4
2,تهران,4,22,18.2
3,زاهدان,1,22,4.5
4,آستانه,1,22,4.5
5,لامرد,1,22,4.5
6,میناب,1,22,4.5
7,پیشین,1,22,4.5
8,تبریز,1,22,4.5
9,گشت,1,22,4.5
10,محمدی,1,22,4.5
11,ماهان,1,22,4.5
12,بهمن,1,22,4.5
13,شنبه,1,22,4.5
14,لاهیجان,1,22,4.5
15,ساوه,1,22,4.5
16,اراک,1,22,4.5
17,بانه,1,22,4.5
18,بوکان,1,22,4.5
19,سقز,1,22,4.5
20,اشنویه,1,22,4.5
21,قروه,1,22,4.5
22,میاندوآب,1,22,4.5
23,سنندج,1,22,4.5
24,پیرانشهر,1,22,4.5
25,ارومیه,1,22,4.5
26,کرمانشاه,1,22,4.5
27,مهاباد,1,22,4.5
28,دیواندره,1,22,4.5
29,مریوان,1,22,4.5
30,روانسر,1,22,4.5
31,بیجار,1,22,4.5
32,پاوه,1,22,4.5
33,کامیاران,1,22,4.5
