rank,city,messages_mentioning,total_messages,pct_of_messages
1,هرمز,8,22,36.4
2,تهران,4,22,18.2
3,زاهدان,1,22,4.5
4,آستانه,1,22,4.5
5,میناب,1,22,4.5
6,لامرد,1,22,4.5
7,پیشین,1,22,4.5
8,محمدی,1,22,4.5
9,تبریز,1,22,4.5
10,گشت,1,22,4.5
11,ماهان,1,22,4.5
12,بهمن,1,22,4.5
13,شنبه,1,22,4.5
14,لاهیجان,1,22,4.5
15,اراک,1,22,4.5
16,ساوه,1,22,4.5
17,مهاباد,1,22,4.5
18,پیرانشهر,1,22,4.5
19,اشنویه,1,22,4.5
20,میاندوآب,1,22,4.5
21,بانه,1,22,4.5
22,کرمانشاه,1,22,4.5
23,قروه,1,22,4.5
24,سقز,1,22,4.5
25,پاوه,1,22,4.5
26,سنندج,1,22,4.5
27,مریوان,1,22,4.5
28,ارومیه,1,22,4.5
29,بوکان,1,22,4.5
30,دیواندره,1,22,4.5
31,روانسر,1,22,4.5
32,کامیاران,1,22,4.5
33,بیجار,1,22,4.5
